Wall time,Step,Value
1617804791,900,1.262172963
1617804838,907,1.17204655
1617804852,909,1.56406872
1617804893,915,1.301177032
1617804906,917,1.403616741
1617805001,931,2.062764764
1617805007,932,1.026642043
1617805075,942,1.442346163
1617805095,945,0.627751695
1617805156,954,1.517088525
1617805183,958,0.960994791
1617805210,962,0.776774716
1617805272,971,0.702176243
1617805278,972,1.168300305
1617805319,978,1.663794555
1617805326,979,0.761778699
1617805360,984,1.408603694
1617805441,996,0.835516211
1617805482,1002,1.212556288
1617805502,1005,0.954419095
1617805563,1014,1.098778099
1617805583,1017,1.849163882
1617805637,1025,1.506301668
1617805719,1037,1.03409104
1617805766,1044,1.427934784
1617805854,1057,1.177067775
1617805894,1063,0.70236763
1617805915,1066,0.730822934
1617805928,1068,1.390887517
1617805955,1072,1.369293686
1617805982,1076,1.808338612
1617805996,1078,1.003461238
1617806029,1083,0.904866029
1617806036,1084,1.245626435
1617806097,1093,0.820644852
1617806137,1099,2.286755666
1617806164,1103,1.456231065
1617806171,1104,1.029245835
1617806239,1114,1.937694848
1617806272,1119,1.508008502
1617806367,1133,0.98935822
1617806515,1155,1.216961816
1617806522,1156,1.573898643
1617806549,1160,1.727711223
1617806556,1161,0.419264007
1617806562,1162,0.666298717
1617806686,1180,1.504714787
1617806767,1192,1.160352211
1617806774,1193,1.470491197
1617806814,1199,0.803265721
1617806828,1201,1.298903674
1617806862,1206,1.086733118
1617807038,1232,0.867000502
1617807052,1234,1.243441924
1617807142,1244,1.397335064
1617807240,1255,0.909464527
1617807267,1258,1.453043614
1617807289,1261,2.150243334
1617807470,1281,1.332421042
1617807534,1287,2.02689413
1617807589,1294,1.169563364
1617807650,1300,1.008330286
1617807725,1310,1.625744998
1617807766,1316,0.833945349
1617807786,1319,2.224463411
1617807841,1327,1.548731606
1617807861,1330,1.075066905
1617807881,1333,1.421955694
1617807902,1336,1.081367768
1617807908,1337,1.03548225
1617808031,1355,2.224104665
1617808133,1370,1.144590229
